binned_LNs_examined,alive_awd,# LNs examined,# LNs +,# LN specimens,Count
1,0,5.0,1.0,4.0,1.0
1,1,3.6,0.8,0.8,5.0
1,2,5.0,0.0,2.0,1.0
2,0,8.0,0.0,3.0,1.0
2,1,9.0,0.0,2.5,8.0
2,2,7.75,1.0,5.5,4.0
3,0,12.428571428571429,1.1428571428571428,4.428571428571429,7.0
3,1,13.107142857142858,0.10714285714285714,3.7142857142857144,28.0
3,2,13.4,0.8,2.6,10.0
4,0,17.75,2.25,3.75,4.0
4,1,17.833333333333332,2.125,4.25,24.0
4,2,19.333333333333332,0.8888888888888888,5.444444444444445,9.0
5,0,22.0,1.75,4.75,8.0
5,1,23.11764705882353,0.4117647058823529,4.176470588235294,17.0
5,2,22.333333333333332,3.0,4.333333333333333,9.0
6,0,30.0,0.0,8.0,1.0
6,1,27.555555555555557,0.4444444444444444,4.888888888888889,9.0
6,2,27.0,0.625,6.875,8.0
7,0,,,,
7,1,33.25,0.0,9.5,4.0
7,2,33.285714285714285,7.0,5.714285714285714,7.0
8,0,,,,
8,1,38.888888888888886,0.1111111111111111,8.11111111111111,9.0
8,2,,,,
9,0,45.0,0.0,6.0,1.0
9,1,43.75,0.0,13.5,4.0
9,2,42.0,18.0,8.0,1.0
10,0,,,,
10,1,47.5,0.0,11.5,6.0
10,2,47.75,0.25,12.0,4.0
11,0,58.0,5.0,12.0,1.0
11,1,64.625,5.625,14.0,8.0
11,2,54.0,4.0,14.0,1.0
